,函數,參數0,參數1,參數2,參數3,參數4,參數5,參數6,參數7,參數8,參數9,參數10,參數11,參數12
tag,c0-0,,,,,,,,,,,,,
0,背景,"""主角房間""",0,,,,,,,,,,,
0,淡入,"""透明度""",100,0,1,,,,,,,,,
0,旁白,,"""本該是美好的冬日早晨。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""滲進窗縫的凜冽寒風，讓我即使裹著厚重的棉被，仍然冷得全身直打哆嗦。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""我只能拿棉被蓋住腦袋，努力用被窩築起克難的愛斯基摩小屋。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""由於今天是週末，昨晚我特地準備了一整季的《殭屍路》影集，用來獎勵自己每日苦讀的辛勞。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""好不容易終於看完影集，才發覺桌上的時鐘已經指到了三點的位置。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""對於一個即將準備大考的學生而言，熬夜確實是大忌……""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""不過對我""+MEM[""姓名""]+""來說，這才叫做青春嘛。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""用棉被包住全身，我感覺身體逐漸回暖，似乎總算能好好睡個回籠覺了。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""如此心想的同時，少女們的激烈爭吵聲卻化為巨大的鐵鎚，不斷敲擊著我因為睡眠不足而暫時停止運作的榆木腦袋。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""怒""","""線性""",0.5,568,,,2,"""「所、以、說，妳的方案根本就行不通嘛！」""",,,"""？？？""",
wait,,,,,,,,,,,,,,
0,移動,"""輔仁""","""平""","""線性""",0.8,568,,,2,,,,,
0,說話,"""政大""","""怒""","""線性""",0.2,568,0.3,568,2,"""「這只是妳的片面之詞。相信換作其他學校，也無法認同妳。」""",,,"""？？？""",
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""怒""","""線性""",0.8,568,,,2,"""「什麼嘛，難道他們就會認同妳了？」""",,,"""？？？""",
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""喜""","""線性""",0.2,568,,,2,"""「毫無疑問，畢竟我的構想更加具有建設性。」""",,,"""？？？""",
wait,,,,,,,,,,,,,,
0,旁白,,"""記得某個童話裡說，太陽比北風更強。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""我倒覺得女孩子們的吵架比太陽更強──畢竟都快把我從溫暖的被窩裡給挖出來了。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""勉強將雙眼睜開一條縫隙，兩對雪白細緻的大腿便映入我的眼中。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""稍微將視角往上挪，則是曲線優美的腰枝，以及將胸口布料撐至緊繃的豐滿胸脯。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""事先聲明，我可不是刻意只注意這些部位！單純是礙於躺著的姿勢，視線範圍最多只能限定在她們的頸部以下！""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""更何況只要是健全的男性，都很難不去注意這些地方的嘛。對吧！""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""怒""","""線性""",0.8,568,,,2,"""「嗚唔唔～～氣死人啦！妳為什麼要一直針對我，政大！」""",,,"""？？？""",
wait,,,,,,,,,,,,,,
0,旁白,,"""以陽光般熱力十足的激昂語調斥責對方的金髮雙馬尾少女。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""怒""","""線性""",0.2,568,,,2,"""「妳錯了，輔仁。我只是試圖阻止這次的企劃成為無法挽回的悲劇。」""",,,"""？？？""",
wait,,,,,,,,,,,,,,
0,旁白,,"""以及，用如同北風呼嘯的清冷嗓音靜靜反擊的黑髮雙馬尾少女。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""似乎沒多久前，我才親身體驗過像這樣有如漫畫般的夢幻場景……""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""是說怎麼兩個人都是雙馬尾？我對女性髮型幾乎一竅不通，所以只能當她們兩個都是雙馬尾。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""總之，請參考人物圖。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""樂""","""線性""",0.8,568,,,2,"""「看來有立即用這具教皇猊下親賜的聖十字，進行驅魔儀式的必要呢。」""",,,"""？？？""",
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""喜""","""線性""",0.2,568,,,2,"""「宗教狂熱份子……或許做為新式咒文的實驗對象正合適。」""",,,"""？？？""",
wait,,,,,,,,,,,,,,
0,旁白,,"""兩人就這麼在我的房間裡唇槍舌劍地爭辯著，直到雙方的戰意突破極限，不約而同拔出身上的真傢伙為止－－""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,"MEM[""名""]","""「給我等一下！」""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""此時金髮少女已舉起了與人同高的巨大十字架，而黑髮少女也在身前描繪出不祥的多重幾何圖案。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""我趕緊跳下床，為了我房間的安危勇敢挺身而出。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""但是──""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
